Day,hamilton album,hamilton soundtrack,hamilton merchandise,hamilton musical
06-05,6,2,0,1
06-06,14,2,0,1
06-07,18,4,0,1
06-08,3,2,0,1
06-09,0,2,0,1
06-10,0,3,10,1
06-11,6,2,10,1
06-12,13,2,0,1
06-13,4,4,6,2
06-14,0,4,0,1
06-15,0,2,0,1
06-16,3,2,5,1
06-17,3,3,0,2
06-18,0,4,5,1
06-19,7,4,5,1
06-20,4,4,0,1
06-21,11,2,0,1
06-22,3,6,16,3
06-23,0,10,22,4
06-24,6,6,21,4
06-25,6,6,5,3
06-26,3,6,0,3
06-27,11,8,6,4
06-28,4,9,6,5
06-29,7,5,16,6
06-30,10,9,17,5
07-01,0,8,11,7
07-02,13,15,5,10
07-03,60,62,53,53
07-04,100,100,100,100
07-05,60,71,20,53
07-06,52,58,59,31
07-07,33,47,38,21
07-08,40,48,39,17
07-09,23,45,33,12
07-10,44,39,28,14
07-11,26,51,19,16
07-12,8,49,19,17
07-13,13,40,22,11
07-14,10,36,16,6
07-15,16,28,27,8
07-16,3,19,6,7
07-17,7,24,23,6
07-18,12,34,33,7
07-19,15,30,0,10
07-20,17,17,17,7
07-21,10,21,6,5
07-22,10,17,23,4
07-23,10,25,6,5
07-24,20,19,23,3
07-25,8,22,19,6
07-26,12,19,20,7
07-27,7,17,0,4
07-28,14,16,11,5
07-29,17,18,17,3
07-30,13,15,6,3
07-31,28,16,17,5
